!;' <P>;XY;!;XY
erschraken;? E 6 . S r ' a: . k @ n;VVFIN;er schrak en;PRFX V INFL
erschreck;? E6 . S r ' E k;VVFIN;er schreck;PRFX V
erschrecken;? E6 . S r ' E k . @ n;VVINF;er schreck en;PRFX NN INFL
erschreckt;? E6 . S r ' E k t;ADJD;er schreck t;PRFX NN SFX
erschreckte;? E 6 . S r ' E k . t @;VVFIN;er schreck t e;PRFX NN SFX INFL
erschreckten;? E 6 . S r ' E k . t @ n;VVFIN;er schreck t en;PRFX NN SFX INFL
erschrick;? E6 . S r ' I k;VVFIN;erschrick;V
erschrickt;? E6 . S r ' I k t;VVFIN;erschrickt;V
erschrock;? E6 . S r ' O k;VVFIN;er schrock;PRFX V
erschrocken;? E6 . S r ' O k . @ n;ADJD;er schrock en;PRFX V INFL
erschrockene;? E 6 . S r ' O k . @ . n @;VVFIN;er schrock en e;PRFX V SFX INFL
erschrockt;? E 6 . S r ' O k t;VVFIN;er schrock t;PRFX V INFL
erschrok;? E 6 . S r ' o: k;VVFIN;erschrok;V
erschrokt;? E 6 . S r ' o: k t;VVFIN;erschrokt;V
erschröken;? E 6 . S r ' 2: . k @ n;VVFIN;erschröken;V
erschöpft;? E6 . S ' 9 p f t;VVPP;er schöpf t;PRFX V SFX
ersehnte;? E6 . z ' e: n . t @;VVFIN;er sehn te;PRFX V INFL
ersetzt;? E6 . z ' E t s t;VVPP;er setz t;PRFX V SFX
erst;? ' e:6 s t;ADV;erst;ADV
erstaunt;? E6 . S t ' aU n t;VVFIN;er staun t;PRFX V INFL
erste;? ' e:6 s . t @;ADJA;erst e;ADJ INFL
ersten;? ' e:6 s . t @ n;ADJA;erst en;ADJ INFL
erstes;? ' e:6 s . t @ s;ADJA;erst es;ADJ INFL
erstmal;? ' e:6 s t . m a: l;NN;erst mal;ADJ SFX
erwachte;? E6 . v ' a x . t @;VVFIN;er wach t e;PRFX ADJ SFX INFL
erwarten;? E6 . v ' a r . t @ n;VVINF;er wart en;PRFX NN INFL
erwartete;? E6 . v ' a r . t @ . t @;VVFIN;er wart ete;PRFX NN INFL
erwartungsvoll;? E6 . v ' a r . t U N s . f O l;VVFIN;erwartungsvoll;V
erwidert;? E6 . v ' i: . d 6 t;VVFIN;erwider t;V INFL
erwiderte;? E6 . v ' i: . d 6 . t @;VVFIN;erwider te;V INFL
erwisch;? E6 . v ' I S;VVFIN;er wisch;PRFX V
erwischen;? E6 . v ' I . S @ n;VVINF;er wisch en;PRFX V INFL
erwischt;? E6 . v ' I S t;VVPP;er wisch t;PRFX V SFX
erwischte;? E 6 . v ' I S . t @;VVFIN;er wisch te;PRFX V INFL
erzähl;? E6 . t s ' E: l;VVIMP;erzähl;V
erzähle;? E6 . t s ' E: . l @;VVFIN;er zähl e;PRFX V INFL
erzähls;? ' E6 . t s E: l s;VVFIN;erzähls;V
erzählt;? E6 . t s ' E: l t;VVPP;er zähl t;PRFX V SFX
erzählte;? E6 . t s ' E: l . t @;VVFIN;er zähl te;PRFX V INFL
erzählten;? E6 . t s ' E: l . t @;VVFIN;er zähl ten;PRFX V INFL
es;? ' E s;PPER;es;PPER
ess;? ' E s;VVFIN;ess;V
essen;? ' E s . @ n;VVINF;ess en;V INFL
esst;? ' E s t;VVFIN;ess t;V INFL
esste;? ' E s . t @;VVFIN;ess te;V INFL
essten;? ' E s . t @ n;VVFIN;ess ten;V INFL
etwa;? ' E t . v a;ADV;etwa;ADV
etwas;? ' E t . v a s;PIS;etwas;PI
euch;? ' OY C;PPER;euch;PPER
eure;? ' OY . r @;ADJA;eure;ADJ
euren;? ' OY . r @ n;VVFIN;euren;V
ewig;? ' e: . v I C;ADJD;ewig;ADJ
explodieren;? E k s . p l o . d ' i: . r @ n;VVINF;explod ier en;V SFX INFL
explodiert;? E k s . p l o . d ' i:6 t;VVFIN;explod ier t;V SFX INFL
explodierte;? E k s . p l o . d ' i: 6 . t @;VVFIN;explod ier t e;V SFX SFX INFL
extra;? ' E k s . t r a;ADJD;extra;ADJ
ey;? ' EI;VVFIN;ey;V
fahl;f ' a: l;VVFIN;fahl;V
fahren;f ' a: . r @ n;VVINF;fahr en;V INFL
fahrt;f ' a: r t;VVFIN;fahr t;V INFL
fahrte;f ' a: r . t @;VVFIN;fahr te;V INFL
fahrten;f ' a: r . t @ n;VVFIN;fahr ten;V INFL
falina;f a . l ' i: . n a;VVFIN;falina;V
fall;f ' a l;VVFIN;fall;V
fallen;f ' a l . @ n;VVINF;fall en;NN INFL
falls;f ' a l s;KOUS;falls;KOUS
fallt;f ' a l t;VVFIN;fall t;NN INFL
fallte;f ' a l . t @;VVFIN;fall t e;NN SFX INFL
falsch;f ' a l S;ADJD;falsch;ADJ
fand;f ' a n t;VVFIN;fand;V
fande;f ' a n . d @;VVFIN;fand e;V INFL
fanden;f ' a n . d @ n;VVFIN;fand en;V INFL
fang;f ' a N;VVFIN;fang;V
fange;f ' a N . @;VVFIN;fang e;V INFL
fangen;f ' a N . @ n;VVINF;fang en;V INFL
fangt;f ' a N t;VVFIN;fang t;V INFL
fangte;f ' a N . t @;VVFIN;fang te;V INFL
fasdet;f ' a s . d @ t;VVFIN;fasdet;V
fass;f ' a s;VVFIN;fass;V
fasse;f ' a s . @;VVFIN;fass e;NN INFL
fassen;f ' a s . @ n;VVINF;fass en;NN INFL
fasst;f ' a s t;VVFIN;fass t;NN INFL
fasste;f ' a s . t @;VVFIN;fass t e;NN SFX INFL
fast;f ' a s t;ADV;fast;ADV
fasziniert;f a s . t s i . n ' i:6 t;ADJD;faszin ier t;V SFX SFX
faul;f ' aU l;ADJD;faul;ADJ
faur;f ' aU . 6;VVFIN;faur;V
fegt;f ' e: k t;VVFIN;feg t;V INFL
fehlt;f ' e: l t;VVFIN;fehl t;V INFL
fehlten;f ' e: l . t @ n;VVFIN;fehl ten;V INFL
fein;f ' aI n;PTKVZ;fein;PTKVZ
felindete;f ' e: . l I n . d @ . t @;VVFIN;felindete;V
fer;f ' E6;VVFIN;fer;V
fertig;f ' E6 . t I C;ADJD;fertig;ADJ
fertiggemacht;f ' E6 . t I C . g @ . m a x t;CARD;fertiggemacht;CARD
fest;f ' E s t;PTKVZ;fest;PTKVZ
feste;f ' E s . t @;ADJA;fest e;NN INFL
festen;f ' E s . t @ n;ADJA;fest en;NN SFX
fester;f ' E s . t 6;ADJA;fest er;NN INFL
festgebindet;f ' E s t . g @ . b I n . d @ t;VVFIN;fest ge bind et;PTKVZ PRFX V INFL
festgebunden;f ' E s t . g @ . b U n . d @ n;VVPP;fest ge bund en;PTKVZ PRFX NN SFX
festgehalten;f ' E s t . g @ . h a l . t @ n;VVPP;fest ge halt en;PTKVZ PRFX NN SFX
festgekrallt;f ' E s t . g @ . k r a l t;VVFIN;festgekrallt;V
festgemacht;f ' E s t . g @ . m a x t;CARD;festgemacht;CARD
festhalten;f ' E s t . h a l . t @ n;VVINF;fest halt en;PTKVZ V INFL
festhält;f ' E s t . h E l t;VVFIN;fest hält;PTKVZ V
festmachen;f ' E s t . m a . x @ n;VVFIN;fest mach en;PTKVZ V INFL
festzuhalten;f ' E s t . t s u . h a l . t @ n;VVIZU;festzuhalten;V
festzukrallen;f ' E s t . t s u . k r a l . @ n;VVFIN;fest zu kralle n;PTKVZ ADP NN INFL
fett;f ' E t;VVFIN;fett;V
fettem;f ' E t . @ m;VVFIN;fettem;V
fetten;f ' E t . @ n;ADJA;fett en;NN SFX
fettes;f ' E t . @ s;VVFIN;fettes;V
fiel;f ' i: l;VVFIN;fiel;V
fielen;f ' i: . l @ n;VVFIN;fiel en;V INFL
finde;f ' I n . d @;VVFIN;find e;V INFL
finden;f ' I n . d @ n;VVINF;find en;V INFL
findest;f ' I n . d @ s t;VVFIN;find est;V INFL
findet;f ' I n . d @ t;VVFIN;find et;V INFL
findete;f ' I n . d @ . t @;VVFIN;find ete;V INFL
fing;f ' I N;VVFIN;fing;V
fingen;f ' I N . @ n;VVFIN;fing en;V INFL
fleißig;f l ' aI . s I C;ADJD;fleiß ig;NN SFX
flennt;f l ' E n t;VVFIN;flennt;V
flieg;f l ' i: k;VVFIN;flieg;V
fliege;f l ' i: . g @;VVFIN;flieg e;V INFL
fliegen;f l ' i: . g @ n;VVFIN;flieg en;V INFL
fliegende;f l ' i: . g @ n . d @;ADJA;flieg end e;V SFX INFL
fliegt;f l ' i: k t;VVFIN;flieg t;V INFL
fliegte;f l ' i: k . t @;VVFIN;flieg te;V INFL
fliegten;f l ' i: k . t @ n;VVFIN;flieg ten;V INFL
fliehen;f l ' i: . @ n;VVINF;flieh en;V INFL
fließen;f l ' i: . s @ n;VVINF;fließ en;V INFL
flip;f l ' I p;VVFIN;flip;V
flitz;f l ' I t s;VVFIN;flitz;V
flitze;f l ' I t . s @;VVFIN;flitz e;V INFL
flitzt;f l ' I t s t;VVFIN;flitz t;V INFL
flitzte;f l ' I t s . t @;VVFIN;flitz te;V INFL
flog;f l ' o: k;VVFIN;flog;V
flogen;f l ' o: . g @ n;VVFIN;flog en;V INFL
flogte;f l ' o: k . t @;VVFIN;flog te;V INFL
flucher;f l ' u: . x 6;VVFIN;flucher;V
flug;f l ' u: k;VVFIN;flug;V
flugen;f l ' u: . g @ n;VVFIN;flug en;NN INFL
flutscht;f l ' U t S t;VVFIN;flutsch t;V INFL
flüchten;f l ' Y C . t @ n;VVFIN;flücht en;V INFL
flüchtet;f l ' Y C . t @ t;VVFIN;flücht et;V INFL
flüchtete;f l ' Y C . t @ . t @;VVFIN;flücht ete;V INFL
flüstern;f l ' Y s . t 6 n;VVINF;flüster n;V INFL
flüstert;f l ' Y s . t 6 t;VVFIN;flüster t;V INFL
flüsterte;f l ' Y s . t 6 . t @;VVFIN;flüster te;V INFL
folgen;f ' O l . g @ n;VVINF;folg en;V INFL
folgt;f ' O l k t;VVIMP;folg t;V INFL
fort;f ' O6 t;PTKVZ;fort;PTKVZ
frag;f r ' a: k;VVIMP;frag;V
frage;f r ' a: . g @;VVFIN;frag e;NN INFL
fragen;f r ' a: . g @ n;VVINF;frag en;NN INFL
fragst;f r ' a: k s t;VVFIN;frag st;NN INFL
fragt;f r ' a: k t;VVFIN;frag t;NN INFL
fragte;f r ' a: k . t @;VVFIN;frag t e;NN SFX INFL
fragten;f r ' a: k . t @ n;VVFIN;frag t en;NN SFX INFL
fraß;f r ' a: s;VVFIN;fraß;V
frbei;f r b ' aI;VVFIN;frbei;V
freche;f r ' E . C @;VVFIN;frech e;ADJ INFL
frei;f r ' aI;ADJD;frei;ADJ
freigelassen;f r ' aI . g @ . l a s . @ n;VVPP;frei ge lass en;PTKVZ PRFX V INFL
fremde;f r ' E m . d @;VVFIN;fremd e;ADJ INFL
fremden;f r ' E m . d @ n;ADJA;fremd en;ADJ INFL
fremder;f r ' E m . d 6;VVFIN;fremder;V
fress;f r ' E s;VVFIN;fress;V
fressen;f r ' E s . @ n;VVINF;fress en;V INFL
fresst;f r ' E s t;VVFIN;fress t;V INFL
freu;f r ' OY;VVFIN;freu;V
freuch;f r ' OY C;VVFIN;freuch;V
freudes;f r ' OY . d @ s;VVFIN;freudes;V
freudig;f r ' OY . d I C;VVFIN;freudig;V
freue;f r ' OY . @;VVFIN;freu e;V INFL
freuen;f r ' OY . @ n;VVINF;freu en;V INFL
freundlich;f r ' OY n t . l I C;ADJD;freund lich;NN SFX
freundliche;f r ' OY n t . l I . C @;ADJA;freund lich e;NN SFX INFL
freundlicher;f r ' OY n t . l I . C 6;ADJD;freund lich er;NN SFX INFL
freut;f r ' OY t;VVFIN;freu t;V INFL
freute;f r ' OY . t @;VVFIN;freu te;V INFL
freuten;f r ' OY . t @ n;VVFIN;freu ten;V INFL
freutete;f r ' OY . t @ . t @;VVFIN;freutete;V
freuts;f r ' OY t s;VVFIN;freuts;V
friedlich;f r ' i: t . l I C;ADJD;fried lich;NN SFX
friert;f r ' i:6 t;VVFIN;frier t;V INFL
frische;f r ' I . S @;ADJA;frisch e;ADJ INFL
friss;f r ' I s;VVFIN;friss;V
frisst;f r ' I s t;VVFIN;frisst;V
frisste;f r ' I s . t @;VVFIN;frisste;V
froh;f r ' o:;ADJD;froh;ADJ
fröhlich;f r ' 2: . l I C;ADJD;fröh lich;ADJ SFX
fröhlicher;f r ' 2: . l I . C 6;VVFIN;fröhlicher;V
fröhliches;f r ' 2: . l I . C @ s;VVFIN;fröhliches;V
früh;f r ' y:;ADJD;früh;ADJ
frühen;f r ' y: . @ n;ADJA;früh en;ADJ INFL
früher;f r ' y: . 6;ADV;früh er;ADJ INFL
frühmorgens;f r y: . m ' O6 . g @ n s;ADV;früh morgen s;ADJ NN SFX
fuhr;f ' u:6;VVFIN;fuhr;V
fuhren;f ' u: . r @ n;VVFIN;fuhr en;V INFL
funktionieren;f U N k . t s j o . n ' i: . r @ n;VVINF;funktion ier en;NN SFX INFL
funktioniert;f U N k . t s j o . n ' i:6 t;VVFIN;funktion ier t;NN SFX INFL
furchtbar;f ' U6 C t . b a: r;ADJD;furcht bar;NN SFX
furchtbaren;f ' U6 C t . b a: . r @ n;ADJA;furcht bar en;NN SFX INFL
furzen;f ' U r . t s @ n;VVINF;furz en;NN INFL
futtern;f ' U t . 6 n;VVFIN;futter n;NN INFL
futtert;f ' U t . 6 t;VVFIN;futter t;NN INFL
futterte;f ' U t . 6 . t @;VVFIN;futter t e;NN SFX INFL
fährt;f ' E:6 t;VVFIN;fähr t;V INFL
fährte;f ' E r . t @;VVFIN;fähr te;V INFL
fällen;f ' E l . @ n;VVINF;fäll en;NN INFL
fällt;f ' E l t;VVFIN;fäll t;NN INFL
fällte;f ' E l . t @;VVFIN;fäll t e;NN SFX INFL
fällten;f ' E l . t @ n;VVFIN;fäll t en;NN SFX INFL
fändet;f ' E n . d @ t;VVFIN;fänd et;V INFL
fängst;f ' E N s t;VVFIN;fäng st;NN INFL
fängt;f ' E N t;VVFIN;fäng t;NN INFL
fängte;f ' E N . t @;VVFIN;fäng t e;NN SFX INFL
fühle;f ' y: . l @;VVFIN;fühl e;V INFL
fühlen;f ' y: . l @ n;VVINF;fühl en;V INFL
fühlt;f ' y: l t;VVFIN;fühl t;V INFL
füllen;f ' Y l . @ n;VVINF;füll en;V INFL
fünf;f ' Y n f;CARD;fünf;CARD
fünfmal;f ' Y n f . m a: l;ADV;fünf mal;CARD ADV
fünften;f ' Y n f . t @ n;ADJA;fünf t en;CARD ORD INFL
für;f ' y:6;APPR;für;ADP
fürchterlich;f ' Y6 C . t 6 . l I C;ADJD;fürcht er lich;V SFX SFX
fütter;f ' Y t . 6;VVFIN;fütter;V
füttern;f ' Y t . 6 n;VVINF;fütter n;V INFL
füttert;f ' Y t . 6 t;VVFIN;fütter t;V INFL
g*mhew;g m j ' u:;VVFIN;g*mhew;V
gab;g ' a: p;VVFIN;gab;V
gaben;g ' a: . b @ n;VVFIN;gab en;V INFL
gabste;g ' a p s . t @;VVFIN;gabste;V
gang;g ' a N;ADJD;gang;ADJ
gangen;g ' a N . @ n;VVFIN;gang en;NN INFL
gangten;g ' a N . t @ n;VVFIN;gang t en;NN SFX INFL
ganz;g ' a n t s;ADV;ganz;ADV
ganze;g ' a n . t s @;ADJA;ganz e;ADJ INFL
ganzen;g ' a n . t s @ n;ADJA;ganz en;ADJ INFL
ganzes;g ' a n . t s @ s;ADJA;ganz es;ADJ INFL
gar;g ' a: r;ADV;gar;ADV
geachtet;g @ . ? ' a x . t @ t;VVPP;ge acht et;PRFX V SFX
geantwortet;g @ . ? ' a n t . v O6 . t @ t;VVFIN;ge antwort et;PRFX NN INFL
gearbeitet;g @ . ? ' a r . b aI . t @ t;VVPP;ge arbeit et;PRFX NN SFX
geb;g ' e: p;VVFIN;geb;V
gebastelt;g @ . b ' a s . t @ l t;VVFIN;ge bastel t;PRFX V INFL
gebaut;g @ . b ' aU t;VVPP;ge bau t;PRFX NN SFX
gebauten;g @ . b ' aU . t @ n;ADJA;ge bau t en;PRFX NN SFX INFL
gebe;g ' e: . b @;VVFIN;geb e;V INFL
gebellt;g @ . b ' E l t;VVFIN;ge bell t;PRFX V INFL
geben;g ' e: . b @ n;VVINF;geb en;V INFL
gebindet;g @ . b ' I n . d @ t;VVFIN;ge bind et;PRFX V INFL
gebittet;g @ . b ' I t . @ t;VVFIN;ge bitt et;PRFX V INFL
geblieben;g @ . b l ' i: . b @ n;VVPP;ge blieb en;PRFX V INFL
gebracht;g @ . b r ' a x t;VVPP;ge brach t;PRFX V SFX
gebreicht;g @ . b r ' aI C t;VVFIN;geb reich t;V NN INFL
gebringt;g @ . b r ' I N t;VVFIN;ge bring t;PRFX V INFL
gebrochen;g @ . b r ' O . x @ n;VVPP;ge broch en;PRFX V INFL
gebrungen;g @ . b r ' U N . @ n;VVFIN;geb rung en;V V INFL
gebrüllt;g @ . b r ' Y l t;VVFIN;ge brüll t;PRFX V INFL
gebt;g ' e: p t;VVFIN;geb t;V INFL
gebte;g ' e: p . t @;VVFIN;geb te;V INFL
gebumst;g @ . b ' U m s t;VVPP;gebumst;V
gebunden;g @ . b ' U n . d @ n;VVPP;ge bund en;PRFX NN SFX
gebundet;g @ . b ' U n . d @ t;VVFIN;ge bund et;PRFX NN INFL
gedacht;g @ . d ' a x t;VVPP;ge dach t;PRFX NN SFX
gedauert;g @ . d ' aU . 6 t;VVPP;ge dauer t;PRFX NN SFX
gedenkt;g @ . d ' E N k t;VVFIN;ge denk t;PRFX V INFL
gedruckt;g @ . d r ' U k t;VVFIN;ge druck t;PRFX NN INFL
gedrückt;g @ . d r ' Y k t;VVPP;ge drück t;PRFX V SFX
geduldig;g @ . d ' U l . d I C;ADJD;ge duld ig;PRFX V SFX
gefahren;g @ . f ' a: . r @ n;VVPP;ge fahr en;PRFX V INFL
gefallen;g @ . f ' a l . @ n;VVPP;ge fall en;PRFX NN SFX
gefangen;g @ . f ' a N . @ n;PTKVZ;gefangen;PTKVZ
gefasst;g @ . f ' a s t;VVFIN;ge fass t;PRFX NN INFL
gefehlt;g @ . f ' e: l t;VVPP;ge fehl t;PRFX V SFX
gefiel;g @ . f ' i: l;VVFIN;ge fiel;PRFX V
gefindet;g @ . f ' I n . d @ t;VVFIN;ge find et;PRFX V INFL
geflattert;g @ . f l ' a t . 6 t;VVFIN;ge flatter t;PRFX V INFL
geflogen;g @ . f l ' o: . g @ n;VVPP;ge flog en;PRFX V INFL
gefolgt;g @ . f ' O l k t;VVPP;ge folg t;PRFX V SFX
gefragt;g @ . f r ' a: k t;VVPP;ge frag t;PRFX NN SFX
gefressen;g @ . f r ' E s . @ n;VVPP;ge fress en;PRFX V INFL
gefresst;g @ . f r ' E s t;VVFIN;ge fress t;PRFX V INFL
gefreut;g @ . f r ' OY t;VVFIN;ge freu t;PRFX V INFL
gefroht;g @ . f r ' o: t;VVFIN;ge froh t;PRFX ADJ INFL
gefuhren;g @ . f ' u: . r @ n;VVFIN;ge fuhr en;PRFX V INFL
gefunden;g @ . f ' U n . d @ n;VVPP;ge fund en;PRFX NN SFX
gefundene;g @ . f ' U n . d @ . n @;ADJA;ge fund en e;PRFX NN SFX INFL
gefundenen;g @ . f ' U n . d @ . n @ n;ADJA;ge fund en en;PRFX NN SFX INFL
gefundet;g @ . f ' U n . d @ t;VVFIN;ge fund et;PRFX NN INFL
gefährlich;g @ . f ' E:6 . l I C;ADJD;ge fähr lich;PRFX V SFX
gefährliche;g @ . f ' E:6 . l I . C @;ADJA;ge fähr lich e;PRFX V SFX INFL
gefällt;g @ . f ' E l t;VVPP;ge fäll t;PRFX NN SFX
gefühlt;g @ . f ' y: l t;VVPP;ge fühl t;PRFX V SFX
gefüllt;g @ . f ' Y l t;VVPP;ge füll t;PRFX V SFX
gegangen;g @ . g ' a N . @ n;VVPP;ge gang en;PRFX NN SFX
gegeben;g @ . g ' e: . b @ n;VVPP;ge geb en;PRFX V INFL
gegehen;g @ . g ' e: . @ n;VVFIN;ge geh en;PRFX V INFL
gegen;g ' e: . g @ n;APPR;gegen;ADP
gegeneinander;g e: . g @ n . ? aI . n ' a n . d 6;VVFIN;gegeneinander;V
gegenseitig;g ' e: . g @ n . z aI . t I C;ADJD;gegen seitig;ADP ADJ
gegenüber;g e: . g @ n . ? ' y: . b 6;APPO;gegenüber;ADP
gegenüberliegenden;g e: . g @ n . ? ' y: . b 6 . l i: . g @ n . d @ n;VVFIN;gegen über lieg end en;ADP ADP V SFX INFL
gegessen;g @ . g ' E s . @ n;VVPP;gegessen;V
gegibt;g @ . g ' i: p t;VVFIN;ge gib t;PRFX V INFL
geglaubt;g @ . g l ' aU p t;VVPP;ge glaub t;PRFX V SFX
gegleitet;g @ . g l ' aI . t @ t;VVFIN;ge gleit et;PRFX V INFL
gegrüßt;g @ . g r ' y: s t;VVFIN;ge grüß t;PRFX NN INFL
geguckt;g @ . k ' U k t;VVFIN;ge guck t;PRFX V INFL
geh;g ' e:;VVIMP;geh;V
gehabt;g @ . h ' a: p t;VAPP;ge hab t;PRFX V SFX
gehalten;g @ . h ' a l . t @ n;VVPP;ge halt en;PRFX NN SFX
gehangen;g @ . h ' a N . @ n;VVFIN;ge hang en;PRFX NN INFL
gehe;g ' e: . @;VVFIN;geh e;V INFL
geheim;g @ . h ' aI m;VVFIN;geheim;V
geheimnisvolle;g @ . h ' aI m . n I s . f O l . @;ADJA;ge heim nis voll e;PRFX NN SFX SFX INFL
gehen;g ' e: . @ n;VVINF;geh en;V INFL
gehender;g ' e: . @ n . d 6;VVFIN;gehender;V
geheult;g @ . h ' OY l t;VVFIN;ge heul t;PRFX V INFL
gehng;g ' e: N;VVFIN;gehng;V
gehngen;g ' e: N . g @ n;VVFIN;gehngen;V
gehoben;g @ . h ' o: . b @ n;VVPP;ge hob en;PRFX V INFL
gehockt;g @ . h ' O k t;VVFIN;ge hock t;PRFX V INFL
gehofft;g @ . h ' O f t;VVPP;ge hoff t;PRFX NN SFX
geholfen;g @ . h ' O l . f @ n;VVPP;ge holf en;PRFX V INFL
geholft;g @ . h ' O l f t;VVFIN;ge holf t;PRFX V INFL
geholt;g @ . h ' o: l t;VVPP;ge hol t;PRFX V SFX
gehorchen;g @ . h ' o:6 . C @ n;VVFIN;ge horch en;PRFX V INFL
geht;g ' e: t;VVFIN;geh t;V INFL
geht's;g ' e: t s;VVFIN;geht's;V
gehte;g ' e: . t @;VVFIN;geh te;V INFL
gehten;g ' e: . t @ n;VVFIN;geh ten;V INFL
gehtet;g ' e: . t @ t;VVFIN;geh tet;V INFL
gehts;g ' e: t s;VVFIN;gehts;V
gehuscht;g @ . h ' U S t;VVFIN;ge husch t;PRFX V INFL
gehängt;g @ . h ' E N t;VVPP;ge häng t;PRFX V SFX
gehöre;g @ . h ' 2: . r @;VVFIN;ge hör e;PRFX V INFL
gehören;g @ . h ' 2: . r @ n;VVFIN;ge hör en;PRFX V INFL
gehört;g @ . h ' 2:6 t;VVPP;ge hör t;PRFX V SFX
gehörte;g @ . h ' 2:6 . t @;VVFIN;ge hör te;PRFX V INFL
gehübst;g @ . h ' Y p s t;VVFIN;gehübst;V
gehüpft;g @ . h ' Y p f t;VVFIN;ge hüpf t;PRFX NN INFL
gejagt;g @ . j ' a: k t;VVFIN;ge jag t;PRFX V INFL
gekackt;g @ . k ' a k t;VVFIN;gekackt;V
gekamen;g @ . k ' a: . m @ n;VVFIN;ge kam en;PRFX V INFL
gekauft;g @ . k ' aU f t;VVPP;ge kauf t;PRFX V SFX
gekichert;g @ . k ' I . C 6 t;VVFIN;ge kicher t;PRFX V INFL
gekitzelt;g @ . k ' I t . s @ l t;VVFIN;ge kitzel t;PRFX NN INFL
geklaut;g @ . k l ' aU t;VVFIN;ge klau t;PRFX V INFL
geklebe;g @ . k l ' e: . b @;VVFIN;ge kleb e;PRFX V INFL
geklebt;g @ . k l ' e: p t;VVFIN;ge kleb t;PRFX V INFL
gekleckert;g @ . k l ' E k . 6 t;VVFIN;ge klecker t;PRFX V INFL
geklettert;g @ . k l ' E t . 6 t;VVPP;ge kletter t;PRFX V SFX
geklingelt;g @ . k l ' I N . @ l t;VVPP;ge klingel t;PRFX NN SFX
geklopft;g @ . k l ' O p f t;VVFIN;ge klopf t;PRFX V INFL
geknallt;g @ . k n ' a l t;VVFIN;ge knall t;PRFX NN INFL
geknotet;g @ . k n ' o: . t @ t;VVFIN;ge knot et;PRFX V INFL
geknuddelt;g @ . k n ' U d . @ l t;VVFIN;geknuddelt;V
gekommen;g @ . k ' O m . @ n;VVPP;ge komm en;PRFX V INFL
gekostet;g @ . k ' O s . t @ t;VVPP;ge kost et;PRFX NN SFX
gekrabbelt;g @ . k r ' a b . @ l t;VVFIN;ge krabbel t;PRFX V INFL
gekracht;g @ . k r ' a x t;CARD;gekracht;CARD
gekratzt;g @ . k r ' a t s t;VVFIN;ge kratz t;PRFX V INFL
gekriecht;g @ . k r ' i: C t;VVFIN;ge kriech t;PRFX V INFL
gekriegt;g @ . k r ' i: k t;VVPP;ge krieg t;PRFX NN SFX
gekritzt;g @ . k r ' I t s t;VVFIN;gekritzt;V
gekrochen;g @ . k r ' O . x @ n;VVPP;gekrochen;V
gekrümelt;g @ . k r ' y: . m @ l t;VVFIN;ge krümel t;PRFX NN INFL
gekuckt;g @ . k ' U k t;VVFIN;ge kuck t;PRFX V INFL
gekuckte;g @ . k ' U k . t @;VVFIN;ge kuck te;PRFX V INFL
gekuschelt;g @ . k ' U . S @ l t;VVFIN;ge kuschel t;PRFX V INFL
gelachen;g @ . l ' a . x @ n;VVFIN;ge lach en;PRFX V INFL
gelacht;g @ . l ' a x t;VVPP;ge lach t;PRFX V SFX
gelandet;g @ . l ' a n . d @ t;VVPP;ge land et;PRFX NN SFX
gelangen;g @ . l ' a N . @ n;VVINF;ge lang en;PRFX V INFL
gelangweilt;g @ . l ' a N . v aI l t;VVFIN;ge lang weil t;PRFX V V INFL
gelassen;g @ . l ' a s . @ n;VVPP;ge lass en;PRFX V INFL
gelaufen;g @ . l ' aU . f @ n;VVPP;ge lauf en;PRFX NN SFX
gelaufene;g @ . l ' aU . f @ . n @;VVFIN;ge lauf en e;PRFX NN SFX INFL
gelauft;g @ . l ' aU f t;VVFIN;ge lauf t;PRFX NN INFL
gelb;g ' E l p;VVFIN;gelb;V
gelb-braun;g ' E l p . b r aU n;VVFIN;gelb - brau n;ADJ MFG V INFL
gelb-orange;g ' E l p . ? o . r a N . Z @;VVFIN;gelb - orange;V MFG V
gelb-orangenen;g ' E l p . ? o . r a N . Z @ . n @ n;VVFIN;gelb - orange n en;ADJ MFG NN SFX INFL
gelb-orangener;g ' E l p . ? o . r a N . Z @ . n 6;VVFIN;gelb - orangener;V MFG V
gelbe;g ' E l . b @;ADJA;gelb e;ADJ INFL
gelben;g ' E l . b @ n;ADJA;gelb en;ADJ INFL
gelber;g ' E l . b 6;ADJA;gelb er;ADJ INFL
gelbes;g ' E l . b @ s;VVFIN;gelbes;V
gelblichen;g ' E l p . l I . C @ n;VVFIN;gelb lich en;ADJ SFX INFL
gelborangenen;g ' E l p . ? o . r a N . Z @ . n @ n;VVFIN;gelb orange n en;ADJ NN SFX INFL
geleckt;g @ . l ' E k t;VVPP;ge leck t;PRFX NN SFX
geleert;g @ . l ' e:6 t;VVFIN;ge leer t;PRFX ADJ INFL
gelegenes;g @ . l ' e: . g @ . n @ s;VVFIN;gelegenes;V
gelegt;g @ . l ' e: k t;VVPP;ge leg t;PRFX V SFX
geleistet;g @ . l ' aI s . t @ t;VVPP;ge leist et;PRFX V SFX
gelernt;g @ . l ' E6 n t;VVPP;ge lern t;PRFX V SFX
geliebten;g @ . l ' i: p . t @ n;ADJA;ge lieb t en;PRFX V SFX INFL
geliebter;g @ . l ' i: p . t 6;VVFIN;geliebter;V
